timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697665799318,24925,Login-0,302,,Load Test Scenario 3 2-26,,true,,412,734,40,83,http://localhost:8081/authenticate,24925,0,2
1697665824242,20390,Login-1,200,,Load Test Scenario 3 2-26,text,true,,28110,440,40,83,http://localhost:8081/,20387,0,0
1697665799581,45607,Login,200,,Load Test Scenario 3 2-27,text,true,,28522,1166,40,83,http://localhost:8081/,24750,0,1
1697665799581,24750,Login-0,302,,Load Test Scenario 3 2-27,,true,,412,726,40,83,http://localhost:8081/authenticate,24750,0,1
1697665824330,20858,Login-1,200,,Load Test Scenario 3 2-27,text,true,,28110,440,40,83,http://localhost:8081/,20855,0,0
1697665799809,45449,Login,200,,Load Test Scenario 3 2-23,text,true,,28522,1142,40,83,http://localhost:8081/,24559,0,2
1697665799809,24559,Login-0,302,,Load Test Scenario 3 2-23,,true,,412,702,40,83,http://localhost:8081/authenticate,24559,0,2
1697665824367,20891,Login-1,200,,Load Test Scenario 3 2-23,text,true,,28110,440,40,83,http://localhost:8081/,20889,0,0
1697665799888,45990,Login,200,,Spike Test Scenario 3 4-92,text,true,,28522,1166,39,83,http://localhost:8081/,24596,0,2
1697665799888,24596,Login-0,302,,Spike Test Scenario 3 4-92,,true,,412,726,39,83,http://localhost:8081/authenticate,24596,0,2
1697665824483,21395,Login-1,200,,Spike Test Scenario 3 4-92,text,true,,28110,440,39,83,http://localhost:8081/,21393,0,0
1697665800190,46337,Login,200,,Spike Test Scenario 3 4-7,text,true,,28522,1158,38,82,http://localhost:8081/,24373,0,2
1697665800190,24373,Login-0,302,,Spike Test Scenario 3 4-7,,true,,412,718,38,82,http://localhost:8081/authenticate,24373,0,2
1697665824562,21965,Login-1,200,,Spike Test Scenario 3 4-7,text,true,,28110,440,38,82,http://localhost:8081/,21963,0,0
1697665800199,46950,Login,200,,Spike Test Scenario 3 4-107,text,true,,28522,1174,38,82,http://localhost:8081/,24441,0,3
1697665800199,24441,Login-0,302,,Spike Test Scenario 3 4-107,,true,,412,734,38,82,http://localhost:8081/authenticate,24441,0,3
1697665824639,22510,Login-1,200,,Spike Test Scenario 3 4-107,text,true,,28110,440,38,82,http://localhost:8081/,22507,0,0
1697665800916,46941,Login,200,,Spike Test Scenario 3 4-106,text,true,,28522,1182,37,81,http://localhost:8081/,23932,0,7
1697665800916,23932,Login-0,302,,Spike Test Scenario 3 4-106,,true,,412,742,37,81,http://localhost:8081/authenticate,23932,0,7
1697665824847,23010,Login-1,200,,Spike Test Scenario 3 4-106,text,true,,28110,440,37,81,http://localhost:8081/,23008,0,0
1697665801153,47323,Login,200,,Load Test Scenario 3 2-19,text,true,,28522,1150,40,80,http://localhost:8081/,23785,0,2
1697665801153,23785,Login-0,302,,Load Test Scenario 3 2-19,,true,,412,710,40,80,http://localhost:8081/authenticate,23785,0,2
1697665824937,23539,Login-1,200,,Load Test Scenario 3 2-19,text,true,,28110,440,40,80,http://localhost:8081/,23537,0,0
1697665801667,47511,Login,200,,Spike Test Scenario 3 4-105,text,true,,28522,1166,36,80,http://localhost:8081/,23357,0,1
1697665801667,23357,Login-0,302,,Spike Test Scenario 3 4-105,,true,,412,726,36,80,http://localhost:8081/authenticate,23357,0,1
1697665825024,24154,Login-1,200,,Spike Test Scenario 3 4-105,text,true,,28110,440,36,80,http://localhost:8081/,24152,0,0
1697665820416,30034,Login,200,,Spike Test Scenario 3 4-140,text,false,"Responce body as text should contain ""LOGOUT""",11118,1161,35,79,http://localhost:8081/login?error,30030,0,1
1697665820416,30030,Login-0,302,,Spike Test Scenario 3 4-140,,true,,423,710,35,79,http://localhost:8081/authenticate,30030,0,1
1697665850445,5,Login-1,200,,Spike Test Scenario 3 4-140,text,true,,10695,451,35,79,http://localhost:8081/login?error,5,0,0
1697665821165,30040,Login,200,,Spike Test Scenario 3 4-139,text,false,"Responce body as text should contain ""LOGOUT""",11118,1161,34,78,http://localhost:8081/login?error,30036,0,2
