timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729409812,30149,Register Random User,409,,Spike Test  4-109,text,false,Status code should be 200,689,677,45,171,http://localhost:8081/api/users/,30149,0,2
1697729409838,30388,Register Random User,409,,Stress Test  1-82,text,false,Status code should be 200,689,677,98,170,http://localhost:8081/api/users/,30388,0,2
1697729410601,29974,Register Random User,409,,Stress Test  1-48,text,false,Status code should be 200,689,677,97,170,http://localhost:8081/api/users/,29974,0,2
1697729410563,30216,Register Random User,500,,Spike Test  4-108,text,false,Status code should be 200,773,677,45,170,http://localhost:8081/api/users/,30215,0,1
1697729410651,30190,Register Random User,409,,Stress Test  1-15,text,false,Status code should be 200,689,677,97,169,http://localhost:8081/api/users/,30190,0,3
1697729410933,30177,Register Random User,409,,Stress Test  1-47,text,false,Status code should be 200,689,677,97,169,http://localhost:8081/api/users/,30177,0,2
1697729388651,52628,Create Post,200,,Stress Test  1-64,text,true,,561,581,97,169,http://localhost:8081/api/post/auth/creator,52628,0,2
1697729411507,30040,Login,200,,Spike Test  4-88,text,false,"Responce body as text should contain ""LOGOUT""",11118,1177,45,170,http://localhost:8081/login?error,30033,0,2
1697729411507,30033,Login-0,302,,Spike Test  4-88,,true,,423,726,45,170,http://localhost:8081/authenticate,30033,0,2
1697729441541,6,Login-1,200,,Spike Test  4-88,text,true,,10695,451,45,170,http://localhost:8081/login?error,5,0,0
1697729411313,30237,Register Random User,409,,Spike Test  4-107,text,false,Status code should be 200,689,677,44,169,http://localhost:8081/api/users/,30237,0,1
1697729411785,30011,Register Random User,409,,Stress Test  1-90,text,false,Status code should be 200,689,677,97,168,http://localhost:8081/api/users/,30011,0,2
1697729412053,30203,Register Random User,500,,Stress Test  1-95,text,false,Status code should be 200,773,677,96,168,http://localhost:8081/api/users/,30203,0,1
1697729412063,30207,Register Random User,500,,Spike Test  4-106,text,false,Status code should be 200,773,677,44,167,http://localhost:8081/api/users/,30207,0,3
1697729412303,30046,Login,200,,Endurance Test  3-3,text,false,"Responce body as text should contain ""LOGOUT""",11118,1197,10,166,http://localhost:8081/login?error,30040,0,0
1697729412303,30040,Login-0,302,,Endurance Test  3-3,,true,,423,746,10,166,http://localhost:8081/authenticate,30040,0,0
1697729442343,6,Login-1,200,,Endurance Test  3-3,text,true,,10695,451,10,166,http://localhost:8081/login?error,6,0,0
1697729442350,12,Create Post,500,,Endurance Test  3-3,text,false,Status code should be 200,656,581,10,166,http://localhost:8081/api/post/auth/creator,10,0,0
1697729442364,11,Delete Post,400,,Endurance Test  3-3,text,false,Status code should be 200,800,587,10,166,http://localhost:8081/api/post/auth/manager?postId=,11,0,2
